<Date>, <Time>, <Price>, <Volume>
8/8/2022,13:50:30.446,1.01896,50
8/8/2022,13:50:31.505,1.01895,1
8/8/2022,13:50:33.619,1.01900,100
8/8/2022,13:50:36.793,1.01901,100
8/8/2022,13:50:37.851,1.01901,200
8/8/2022,13:50:38.910,1.01904,200
8/8/2022,13:50:39.969,1.01905,200
8/8/2022,13:50:42.087,1.01908,100
8/8/2022,13:50:43.144,1.01908,150
8/8/2022,13:50:44.203,1.01909,200
8/8/2022,13:50:45.262,1.01910,100
8/8/2022,13:50:46.321,1.01912,100
8/8/2022,13:50:47.379,1.01915,50
8/8/2022,13:50:49.497,1.01914,50
8/8/2022,13:50:52.673,1.01917,100
8/8/2022,13:50:53.732,1.01918,50
8/8/2022,13:50:57.967,1.01920,30
8/8/2022,13:50:59.025,1.01921,180
8/8/2022,13:51:00.083,1.01923,30
8/8/2022,13:51:03.255,1.01919,50
8/8/2022,13:51:06.432,1.01914,6
8/8/2022,13:51:07.491,1.01914,156
8/8/2022,13:51:08.550,1.01914,56
8/8/2022,13:51:10.667,1.01914,6
8/8/2022,13:51:11.726,1.01915,100
8/8/2022,13:51:12.784,1.01914,106
8/8/2022,13:51:15.960,1.01915,100
8/8/2022,13:51:17.019,1.01918,50
8/8/2022,13:51:20.194,1.01919,200
8/8/2022,13:51:21.253,1.01918,50
8/8/2022,13:51:25.486,1.01919,50
8/8/2022,13:51:27.604,1.01918,50
8/8/2022,13:51:31.839,1.01919,50
8/8/2022,13:51:32.897,1.01918,50
8/8/2022,13:51:33.956,1.01919,50
8/8/2022,13:51:36.073,1.01919,100
8/8/2022,13:51:37.130,1.01918,302
8/8/2022,13:51:38.188,1.01919,150
8/8/2022,13:51:39.247,1.01919,100
8/8/2022,13:51:42.419,1.01918,2
8/8/2022,13:51:44.534,1.01926,50
8/8/2022,13:51:47.707,1.01927,50
8/8/2022,13:51:48.764,1.01927,100
8/8/2022,13:51:49.821,1.01928,50
8/8/2022,13:51:55.108,1.01934,50
8/8/2022,13:51:56.165,1.01933,50
8/8/2022,13:51:59.337,1.01934,50
8/8/2022,13:52:00.395,1.01929,50
8/8/2022,13:52:01.454,1.01928,50
8/8/2022,13:52:05.687,1.01929,50
8/8/2022,13:52:06.745,1.01930,40
8/8/2022,13:52:07.127,1.01930,39
8/8/2022,13:52:07.803,1.01931,40
8/8/2022,13:52:08.860,1.01926,8
8/8/2022,13:52:09.688,1.01926,7
8/8/2022,13:52:09.918,1.01925,301
8/8/2022,13:52:10.977,1.01926,50
8/8/2022,13:52:12.035,1.01925,300
8/8/2022,13:52:16.270,1.01926,100
8/8/2022,13:52:17.329,1.01925,300
8/8/2022,13:52:19.446,1.01924,100
8/8/2022,13:52:20.504,1.01926,100
8/8/2022,13:52:21.563,1.01924,250
8/8/2022,13:52:22.621,1.01925,200
8/8/2022,13:52:24.737,1.01929,200
8/8/2022,13:52:25.797,1.01929,150
8/8/2022,13:52:26.856,1.01927,150
8/8/2022,13:52:30.032,1.01927,300
8/8/2022,13:52:31.087,1.01927,200
8/8/2022,13:52:32.145,1.01926,3
8/8/2022,13:52:33.202,1.01925,150
8/8/2022,13:52:34.260,1.01925,100
8/8/2022,13:52:37.435,1.01927,100
8/8/2022,13:52:40.610,1.01925,200
8/8/2022,13:52:42.727,1.01924,103
8/8/2022,13:52:43.783,1.01927,100
8/8/2022,13:52:45.897,1.01920,16
8/8/2022,13:52:46.954,1.01922,50
8/8/2022,13:52:48.010,1.01927,150
8/8/2022,13:52:51.180,1.01927,50
8/8/2022,13:52:54.351,1.01932,100
8/8/2022,13:52:55.408,1.01931,200
8/8/2022,13:52:56.464,1.01932,200
8/8/2022,13:52:57.520,1.01930,100
8/8/2022,13:52:58.577,1.01929,200
8/8/2022,13:52:59.634,1.01931,200
8/8/2022,13:53:01.748,1.01930,200
8/8/2022,13:53:02.805,1.01935,100
8/8/2022,13:53:03.862,1.01937,100
8/8/2022,13:53:05.975,1.01938,50
